County,CountyFIPS,2012 College Rate,2016 College Rate,College Rate Change
Alameda,6001,32.42,35.08,2.65
Alpine,6003,25.31,23.73,-1.58
Amador,6005,21.78,23.64,1.86
Butte,6007,21.24,23.13,1.89
Calaveras,6009,22.52,23.53,1.0
Colusa,6011,13.8,15.28,1.48
Contra Costa,6013,31.34,32.96,1.62
Del Norte,6015,14.2,16.47,2.27
El Dorado,6017,29.0,31.01,2.01
Fresno,6019,15.91,16.77,0.86
Glenn,6021,13.68,12.82,-0.86
Humboldt,6023,23.7,25.03,1.33
Imperial,6025,11.63,12.34,0.71
Inyo,6027,20.79,23.27,2.48
Kern,6029,12.85,13.6,0.75
Kings,6031,12.22,12.53,0.31
Lake,6033,18.7,20.54,1.84
Lassen,6035,17.3,15.72,-1.58
Los Angeles,6037,23.53,25.13,1.59
Madera,6039,13.18,13.05,-0.12
Marin,6041,44.7,46.29,1.59
Mariposa,6043,22.21,23.63,1.42
Mendocino,6045,21.35,22.5,1.15
Merced,6047,11.07,12.13,1.07
Modoc,6049,20.5,22.66,2.16
Mono,6051,26.46,25.29,-1.17
Monterey,6053,18.9,19.96,1.07
Napa,6055,27.29,28.9,1.61
Nevada,6057,31.83,33.98,2.15
Orange,6059,29.05,31.0,1.95
Placer,6061,31.04,33.57,2.53
Plumas,6063,25.83,26.15,0.32
Riverside,6065,17.2,18.36,1.16
Sacramento,6067,23.96,25.75,1.79
San Benito,6069,16.19,17.15,0.95
San Bernardino,6071,15.87,16.92,1.05
San Diego,6073,28.13,30.01,1.88
San Francisco,6075,44.4,47.39,2.99
San Joaquin,6077,15.97,17.06,1.09
San Luis Obispo,6079,27.24,29.15,1.9
San Mateo,6081,36.19,38.66,2.47
Santa Barbara,6083,24.54,24.63,0.1
Santa Clara,6085,35.8,38.23,2.43
Santa Cruz,6087,29.61,31.2,1.59
Shasta,6089,20.77,22.11,1.33
Sierra,6091,20.55,25.86,5.31
Siskiyou,6093,23.14,23.46,0.32
Solano,6095,22.42,23.59,1.17
Sonoma,6097,28.02,29.95,1.94
Stanislaus,6099,14.33,15.18,0.85
Sutter,6101,18.04,18.73,0.7
Tehama,6103,13.66,14.47,0.81
Trinity,6105,21.76,22.02,0.26
Tulare,6107,12.01,12.29,0.28
Tuolumne,6109,20.17,22.19,2.02
Ventura,6111,25.51,27.07,1.56
Yolo,6113,26.35,27.17,0.83
Yuba,6115,14.39,16.13,1.74
